date,count,uniques
2026-07-17,0,0
2026-07-18,0,0
2026-07-19,50,32
2026-07-20,62,32
2026-07-21,17,11
2026-07-22,47,28
2026-07-23,2,2
2026-07-24,10,10
2026-07-25,4,4
2026-07-26,6,3
2026-07-27,0,0
2026-07-28,2,2
2026-07-29,0,0
2026-07-30,0,0
2026-07-31,26,14
